cell_group,gene_id,gene_short_name,fraction_expressing,mean_expression,specificity
Microglia,ENSMUSG00000011008,Mcoln2,0.07610474631751228,0.1759255220120081,0.9476181770544331
Microglia,ENSMUSG00000047592,Nxpe5,0.07528641571194762,0.1974382740705157,0.9470805161593171
Microglia,ENSMUSG00000041707,Tmem273,0.12029459901800327,0.2669153768413457,0.9383632997479473
Microglia,ENSMUSG00000047180,Neurl3,0.09492635024549918,0.20403692897725453,0.9379198135031318
Microglia,ENSMUSG00000056529,Ptafr,0.060556464811783964,0.12938346934768352,0.9370206829618165
Microglia,ENSMUSG00000004552,Ctse,0.10474631751227496,0.21221948854098582,0.9339069404268797
Microglia,ENSMUSG00000044583,Tlr7,0.22013093289689034,0.5930934882446394,0.9313465323566833
Microglia,ENSMUSG00000049130,C5ar1,0.16039279869067102,0.4180513733555898,0.9312008183268916
Microglia,ENSMUSG00000026832,Cytip,0.08265139116202946,0.21956288859114942,0.9303956334102057
Microglia,ENSMUSG00000090675,Olfr111,0.09001636661211129,0.21063164104959178,0.9287630007221557
Microglia,ENSMUSG00000048865,Arhgap30,0.2193126022913257,0.5067376965870262,0.9279293854627988
Microglia,ENSMUSG00000051506,Wdfy4,0.2078559738134206,0.5104402372898218,0.9275131285120596
Microglia,ENSMUSG00000003484,Cyp4f18,0.05564648117839607,0.12537275656922559,0.926279917647589
Microglia,ENSMUSG00000021886,Gpr65,0.06792144026186579,0.14239204948112896,0.9234948926390902
Microglia,ENSMUSG00000071715,Ncf4,0.08265139116202946,0.18366472710085835,0.9230470902894345
Microglia,ENSMUSG00000031264,Btk,0.09901800327332243,0.21580919455466857,0.9221611705498928
Microglia,ENSMUSG00000030047,Arhgap25,0.2896890343698854,0.8278892006154558,0.9215701014701474
Microglia,ENSMUSG00000051439,Cd14,0.09165302782324058,0.2167382897464839,0.9204705483743387
Microglia,ENSMUSG00000071713,Csf2rb,0.2692307692307692,0.6705404477439115,0.9198626774208276
Microglia,ENSMUSG00000025804,Ccr1,0.26432078559738137,0.7809208662144502,0.9197497241781586
Microglia,ENSMUSG00000040522,Tlr8,0.07037643207855974,0.1531233871981401,0.9194037683179005
Microglia,ENSMUSG00000026358,Rgs1,0.19312602291325695,0.572032025324603,0.918733616174369
Microglia,ENSMUSG00000030786,Itgam,0.10638297872340426,0.22283337980410606,0.9178701302666803
Microglia,ENSMUSG00000020143,Dock2,0.7356792144026186,3.6968870488782386,0.9172330086593338
Microglia,ENSMUSG00000026712,Mrc1,0.20540098199672668,0.9283218817009252,0.9154701989606676
Microglia,ENSMUSG00000061132,Blnk,0.32160392798690673,0.9164960668894286,0.9153211867653945
Microglia,ENSMUSG00000073490,Ifi207,0.5417348608837971,1.9142991810563623,0.9152857127401118
Microglia,ENSMUSG00000015355,Cd48,0.176759410801964,0.41848239292324224,0.9149488005490428
Microglia,ENSMUSG00000030263,Lrmp,0.13911620294599017,0.3166993609439248,0.9146983446693079
Microglia,ENSMUSG00000015340,Cybb,0.6522094926350246,3.148863652279585,0.9143426974693896
Microglia,ENSMUSG00000052821,Cysltr1,0.16202945990180032,0.405153723832487,0.9140866660759771
Microglia,ENSMUSG00000024013,Fgd2,0.18821603927986907,0.4549780928219015,0.9137909338485446
Microglia,ENSMUSG00000027315,Spint1,0.18657937806873978,0.4863548295840804,0.9135354393570227
Microglia,ENSMUSG00000022372,Sla,0.10556464811783961,0.24992829921163723,0.9128344830234546
Microglia,ENSMUSG00000018008,Cyth4,0.38379705400981995,1.0481086046324424,0.9102482417921667
Microglia,ENSMUSG00000079419,Ms4a6c,0.3698854337152209,1.03649739441279,0.9094025302634209
Microglia,ENSMUSG00000044827,Tlr1,0.08919803600654665,0.20994844435977925,0.9093184545316391
Microglia,ENSMUSG00000030789,Itgax,0.07610474631751228,0.1888820170449839,0.9090713209347493
Microglia,ENSMUSG00000004730,Adgre1,0.49918166939443537,1.7697523236731008,0.9087666982324465
Microglia,ENSMUSG00000030830,Itgal,0.05564648117839607,0.10283122618632003,0.9084534082418889
Microglia,ENSMUSG00000101389,Ms4a4a,0.5,1.8601231600449353,0.9081717346496242
Microglia,ENSMUSG00000052085,Dock8,0.42716857610474634,1.373788804583365,0.9075976322839879
Microglia,ENSMUSG00000052160,Pld4,0.3707037643207856,1.0872380276379574,0.9069694829981354
Microglia,ENSMUSG00000022148,Fyb,0.6816693944353519,3.282004172169787,0.9069378414120891
Microglia,ENSMUSG00000026288,Inpp5d,0.6898527004909983,3.1329718266830957,0.9068572676435706
Microglia,ENSMUSG00000033220,Rac2,0.20703764320785598,0.4928623053696876,0.9064980390973223
Microglia,ENSMUSG00000028581,Laptm5,0.6980360065466449,3.433280275532778,0.9063198050311597
Microglia,ENSMUSG00000004709,Cd244a,0.09410801963993454,0.22047762846703095,0.9062888912480119
Microglia,ENSMUSG00000078771,Evi2a,0.11211129296235679,0.23413719767281832,0.9060625367310979
Microglia,ENSMUSG00000018381,Abi3,0.22749590834697217,0.5813394536268972,0.9057904629833733
Microglia,ENSMUSG00000038642,Ctss,0.7021276595744681,3.344499416841693,0.9057231508776138
Microglia,ENSMUSG00000036896,C1qc,0.7684124386252046,5.44989815586671,0.904417073720342
Microglia,ENSMUSG00000046805,Mpeg1,0.8019639934533551,5.455761200726173,0.9039415458160166
Microglia,ENSMUSG00000024300,Myo1f,0.44680851063829785,1.3525141321517553,0.903596769182825
Microglia,ENSMUSG00000031165,Was,0.062193126022913256,0.12813540753632607,0.9035114314905702
Microglia,ENSMUSG00000073489,Ifi204,0.1260229132569558,0.3142295607812891,0.9033205783551719
Microglia,ENSMUSG00000026395,Ptprc,0.7577741407528642,3.723812112102907,0.9028955624393833
Microglia,ENSMUSG00000026012,Cd28,0.1104746317512275,0.27431734418797404,0.9015250963301304
Microglia,ENSMUSG00000026866,Kynu,0.513911620294599,3.0777119881140025,0.9007344693787498
Microglia,ENSMUSG00000059089,Fcgr4,0.07119476268412439,0.13700403658263144,0.9003691689806749
Microglia,ENSMUSG00000025017,Pik3ap1,0.5130932896890343,1.8676668409400665,0.9001137593551364
Microglia,ENSMUSG00000022488,Nckap1l,0.353518821603928,0.9350622279907723,0.8997281250750403
Microglia,ENSMUSG00000112023,Lilr4b,0.13502454991816695,0.3278504985212967,0.8989339974675732
Microglia,ENSMUSG00000023992,Trem2,0.20458265139116202,0.546610254644258,0.8988732536305047
Microglia,ENSMUSG00000046410,Kcnk6,0.054009819967266774,0.12699449672990057,0.898865377662017
Microglia,ENSMUSG00000024621,Csf1r,0.7782324058919804,4.042474478645202,0.8981220920932325
Microglia,ENSMUSG00000078945,Naip2,0.1260229132569558,0.2823757001934137,0.8971957969734491
Microglia,ENSMUSG00000070691,Runx3,0.08346972176759411,0.19581493670222389,0.8966097207640729
Microglia,ENSMUSG00000035697,Arhgap45,0.12193126022913257,0.27755404109487913,0.8962188345345856
Microglia,ENSMUSG00000044092,C130050O18Rik,0.09410801963993454,0.23316891485940808,0.8959082692508644
Microglia,ENSMUSG00000112148,Lilrb4a,0.12193126022913257,0.2600415141545768,0.8956573143888288
Microglia,ENSMUSG00000040747,Cd53,0.3502454991816694,0.9679406727522408,0.8956319965586522
Microglia,ENSMUSG00000026656,Fcgr2b,0.1955810147299509,0.5978021842687299,0.8954997843672541
Microglia,ENSMUSG00000049744,Arhgap15,0.3878887070376432,1.487913967354159,0.895211844197098
Microglia,ENSMUSG00000098112,Bin2,0.10965630114566285,0.25123436871375576,0.8945281295686424
Microglia,ENSMUSG00000021423,Ly86,0.47217675941080195,1.8584458090515983,0.8940114462936797
Microglia,ENSMUSG00000058099,Nfam1,0.19639934533551553,0.4674152694269325,0.8938188839721581
Microglia,ENSMUSG00000034116,Vav1,0.279050736497545,0.6617459447969333,0.8933794997486313
Microglia,ENSMUSG00000070780,Rbm47,0.5458265139116203,2.0959145622070006,0.8933664623924437
Microglia,ENSMUSG00000052384,Nrros,0.18330605564648117,0.4097361586814017,0.8932125312989276
Microglia,ENSMUSG00000024397,Aif1,0.06710310965630115,0.1329516523003353,0.8927772118295894
Microglia,ENSMUSG00000072620,Slfn2,0.06464811783960721,0.13581835123387337,0.8925583584558779
Microglia,ENSMUSG00000032089,Il10ra,0.12520458265139117,0.3091740115643051,0.8921681129179349
Microglia,ENSMUSG00000029299,Abcg3,0.2937806873977087,1.0908989666189497,0.8918061246616937
Microglia,ENSMUSG00000036905,C1qb,0.7815057283142389,5.010860076058498,0.8914312537226705
Microglia,ENSMUSG00000018654,Ikzf1,0.4132569558101473,1.30174833293359,0.8913752080054583
Microglia,ENSMUSG00000032530,Lyzl4,0.054009819967266774,0.11357428409358802,0.8909968945531667
Microglia,ENSMUSG00000033777,Tlr13,0.30032733224222585,0.8099102404635836,0.8906488100658462
Microglia,ENSMUSG00000049988,Lrrc25,0.11129296235679215,0.2583203637936093,0.8905380039323255
Microglia,ENSMUSG00000044811,Cd300c2,0.14729950900163666,0.3513817727739067,0.889839494667492
Microglia,ENSMUSG00000022014,Epsti1,0.1104746317512275,0.2373024435455056,0.8894022552810191
Microglia,ENSMUSG00000015396,Cd83,0.11620294599018004,0.2850707035641819,0.8885971773953518
Microglia,ENSMUSG00000029919,Hpgds,0.4909983633387889,1.6729007833570824,0.8882832750551524
Microglia,ENSMUSG00000041515,Irf8,0.25368248772504093,0.6338065847550733,0.8881381841931447
Microglia,ENSMUSG00000024672,Ms4a7,0.5147299509001637,2.01351724784454,0.887934669040743
Microglia,ENSMUSG00000051504,Siglech,0.09983633387888707,0.24187458762854686,0.887286188477413
Microglia,ENSMUSG00000030745,Il21r,0.1276595744680851,0.2867772102614793,0.8871935964845843
Microglia,ENSMUSG00000059498,Fcgr3,0.3960720130932897,1.2325296756474247,0.8867754888762142
Microglia,ENSMUSG00000038147,Cd84,0.49345335515548283,1.6174128355436517,0.8862835162114027
Microglia,ENSMUSG00000049625,Tifab,0.08183306055646482,0.201263624388579,0.8858840034023385
Microglia,ENSMUSG00000020901,Pik3r5,0.09410801963993454,0.20707806355025407,0.8851432288957849
Microglia,ENSMUSG00000024679,Ms4a6d,0.3019639934533552,0.8200732332512989,0.8849059021383519
Microglia,ENSMUSG00000022901,Cd86,0.26759410801963995,0.8060928987084502,0.8843306003946549
Microglia,ENSMUSG00000026177,Slc11a1,0.2225859247135843,0.5697274578482215,0.8841240640182495
Microglia,ENSMUSG00000052760,A630001G21Rik,0.15548281505728315,0.3285760530925583,0.883884115145428
Microglia,ENSMUSG00000040552,C3ar1,0.483633387888707,1.7714253386912044,0.8836510961450285
Microglia,ENSMUSG00000036887,C1qa,0.7520458265139116,5.081443432519419,0.8836031782331029
Microglia,ENSMUSG00000029925,Tbxas1,0.6104746317512275,2.9509825448670366,0.8834638560814925
Microglia,ENSMUSG00000004609,Cd33,0.17594108019639934,0.416671513661666,0.8828284505005356
Microglia,ENSMUSG00000021322,Aoah,0.2520458265139116,0.7772574681938907,0.8812861611854366
Microglia,ENSMUSG00000046207,Pik3r6,0.06546644844517185,0.13684947224901509,0.8795433450426787
Microglia,ENSMUSG00000023349,Clec4n,0.27823240589198034,0.8113131181899154,0.8781975839129471
Microglia,ENSMUSG00000021998,Lcp1,0.455810147299509,1.3963156475647505,0.8776581370841451
Microglia,ENSMUSG00000058818,Pirb,0.13829787234042554,0.3242516609207595,0.8774913699212701
Microglia,ENSMUSG00000099398,Ms4a14,0.11947626841243862,0.2847341197516859,0.8772743267802348
Microglia,ENSMUSG00000025044,Msr1,0.34124386252045824,1.0604606490164512,0.8763255727357233
Microglia,ENSMUSG00000015950,Ncf1,0.1783960720130933,0.37890812118788825,0.8760614183946951
Microglia,ENSMUSG00000024677,Ms4a6b,0.34615384615384615,0.9984266696562483,0.8760423646118393
Microglia,ENSMUSG00000024965,Fermt3,0.25368248772504093,0.6630834809025741,0.8755623290655422
Microglia,ENSMUSG00000048779,P2ry6,0.37643207855973815,1.0560529472233444,0.8728926674655497
Microglia,ENSMUSG00000037922,Bank1,0.07937806873977087,0.21926532320807063,0.8719607243267388
Microglia,ENSMUSG00000030579,Tyrobp,0.381342062193126,1.1848437874413007,0.8718049548643898
Microglia,ENSMUSG00000055541,Lair1,0.4157119476268412,1.2474546231975412,0.8713916899685457
Microglia,ENSMUSG00000063458,Lrmda,0.9009819967266776,9.862702293789866,0.8690254788067734
Microglia,ENSMUSG00000039193,Nlrc4,0.16612111292962356,0.42470869475222445,0.8688444138419195
